DATE,VAR
2015-07-01,1035587
2015-10-01,1039875
2016-01-01,1048500
2016-04-01,1053974
2016-07-01,1059305
2016-10-01,1064250
2017-01-01,1072174
2017-04-01,1076822
2017-07-01,1088231
2017-10-01,1099849
2018-01-01,1110781
2018-04-01,1130637
2018-07-01,1131668
2018-10-01,1134430
2019-01-01,1153880
2019-04-01,1163601
2019-07-01,1184561
2019-10-01,1189641
