index,id,created_at,date,place,tweet,language,ticker,user_id_str,username,nlikes,nreplies,nretweets,geo,source,compound,bearish,neutral,bullish
32,1367632442954194946_unfi,1.6149E+12,05/03/2021 00:00,,"💥 Thank you, Cointelegraph! 💥  ""Unifi (UNFI), StaFi (FIS) and Dego see triple-digit gains after #DeFi listings""   https://t.co/bpT1Wa57In #UnifiProtocol #UNFI $UNFI  https://t.co/s5lRcw8hBT",en,UNFI,1.29346E+18,unifiprotocol,80,3,18,,twitter,0.636,0,0.776,0.224
1,1367966548351201281_unh,1.61498E+12,05/03/2021 22:00,,Fresh bullish active sequences with daily 8/21EMA crosses today:  $T $UNH $SIFY $KR $K $UPS  #ActSeq,en,UNH,1.30207E+18,ChartingOptions,37,2,3,,twitter,0.6124,0,0.737,0.263
2,1367966548351201281_sify,1.61498E+12,05/03/2021 22:00,,Fresh bullish active sequences with daily 8/21EMA crosses today:  $T $UNH $SIFY $KR $K $UPS  #ActSeq,en,SIFY,1.30207E+18,ChartingOptions,37,2,3,,twitter,0.6124,0,0.737,0.263
3,1367966548351201281_kr,1.61498E+12,05/03/2021 22:00,,Fresh bullish active sequences with daily 8/21EMA crosses today:  $T $UNH $SIFY $KR $K $UPS  #ActSeq,en,KR,1.30207E+18,ChartingOptions,37,2,3,,twitter,0.6124,0,0.737,0.263
4,1367966548351201281_k,1.61498E+12,05/03/2021 22:00,,Fresh bullish active sequences with daily 8/21EMA crosses today:  $T $UNH $SIFY $KR $K $UPS  #ActSeq,en,K,1.30207E+18,ChartingOptions,37,2,3,,twitter,0.6124,0,0.737,0.263
5,1367966548351201281_ups,1.61498E+12,05/03/2021 22:00,,Fresh bullish active sequences with daily 8/21EMA crosses today:  $T $UNH $SIFY $KR $K $UPS  #ActSeq,en,UPS,1.30207E+18,ChartingOptions,37,2,3,,twitter,0.6124,0,0.737,0.263
0,1368034592758890498_mwk,1.615E+12,06/03/2021 03:00,,"Added to a few today $MWK $UPST $PLTR $MGNI $SKLZ $TIGR $ACUIF sticking w my crew that I've talked about, no planned new names. Going to taper adds next week.",en,MWK,920239938,caleb_investTML,28,3,4,,twitter,-0.296,0.075,0.925,0
1,1368034592758890498_upst,1.615E+12,06/03/2021 03:00,,"Added to a few today $MWK $UPST $PLTR $MGNI $SKLZ $TIGR $ACUIF sticking w my crew that I've talked about, no planned new names. Going to taper adds next week.",en,UPST,920239938,caleb_investTML,28,3,4,,twitter,-0.296,0.075,0.925,0
2,1368034592758890498_pltr,1.615E+12,06/03/2021 03:00,,"Added to a few today $MWK $UPST $PLTR $MGNI $SKLZ $TIGR $ACUIF sticking w my crew that I've talked about, no planned new names. Going to taper adds next week.",en,PLTR,920239938,caleb_investTML,28,3,4,,twitter,-0.296,0.075,0.925,0
3,1368034592758890498_mgni,1.615E+12,06/03/2021 03:00,,"Added to a few today $MWK $UPST $PLTR $MGNI $SKLZ $TIGR $ACUIF sticking w my crew that I've talked about, no planned new names. Going to taper adds next week.",en,MGNI,920239938,caleb_investTML,28,3,4,,twitter,-0.296,0.075,0.925,0
4,1368034592758890498_sklz,1.615E+12,06/03/2021 03:00,,"Added to a few today $MWK $UPST $PLTR $MGNI $SKLZ $TIGR $ACUIF sticking w my crew that I've talked about, no planned new names. Going to taper adds next week.",en,SKLZ,920239938,caleb_investTML,28,3,4,,twitter,-0.296,0.075,0.925,0
5,1368034592758890498_tigr,1.615E+12,06/03/2021 03:00,,"Added to a few today $MWK $UPST $PLTR $MGNI $SKLZ $TIGR $ACUIF sticking w my crew that I've talked about, no planned new names. Going to taper adds next week.",en,TIGR,920239938,caleb_investTML,28,3,4,,twitter,-0.296,0.075,0.925,0
6,1368034592758890498_acuif,1.615E+12,06/03/2021 03:00,,"Added to a few today $MWK $UPST $PLTR $MGNI $SKLZ $TIGR $ACUIF sticking w my crew that I've talked about, no planned new names. Going to taper adds next week.",en,ACUIF,920239938,caleb_investTML,28,3,4,,twitter,-0.296,0.075,0.925,0
2,1368018537944522752_kmph,1.615E+12,06/03/2021 02:00,,Tough week. My pops passed away Sunday so I spent the entire week clearing out his house. Kept me off the market. But I got lucky and woke up early one day and sold two stocks I was underwater for big gains. $KMPH $UWMC and after all that I made $12k on a cray week #thestrat,en,KMPH,1.05271E+18,chucknfones,30,16,0,,twitter,0.5719,0.027,0.878,0.095
3,1368018537944522752_uwmc,1.615E+12,06/03/2021 02:00,,Tough week. My pops passed away Sunday so I spent the entire week clearing out his house. Kept me off the market. But I got lucky and woke up early one day and sold two stocks I was underwater for big gains. $KMPH $UWMC and after all that I made $12k on a cray week #thestrat,en,UWMC,1.05271E+18,chucknfones,30,16,0,,twitter,0.5719,0.027,0.878,0.095
