461,UPS
462,URI
463,UHS
464,UNM
465,VFC
466,VLO
467,VAR
468,VTR
469,VRSN
470,VRSK
471,VZ
472,VRTX
473,VIAC
474,V
475,VNO
476,VMC
477,WRB
478,WAB
479,WMT
480,WBA
481,DIS
482,WM
483,WAT
484,WEC
485,WFC
486,WELL
487,WST
488,WDC
489,WU
490,WRK
491,WY
492,WHR
493,WMB
494,WLTW
495,WYNN
496,XEL
497,XRX
498,XLNX
499,XYL
500,YUM
501,ZBRA
502,ZBH
503,ZION
504,ZTS
